epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.5672,2.20256,3.65686,1.89639,0.49201,0.2426,0.19084,0.0827,1.86374,2.71593,1.6233,0.00995261,0.00331754,0.00995261,0.00331754,0.00995261,0.00331754,0.00995261,0.00331754
2,101.839,1.93909,2.67855,1.62275,0.4649,0.21609,0.15211,0.05854,1.90725,2.6587,1.75448,0.0198868,0.00662892,0.0198868,0.00662892,0.0198868,0.00662892,0.0198868,0.00662892
3,144.993,1.98473,2.52911,1.68161,0.39276,0.27092,0.12052,0.04457,2.09603,2.86194,1.94386,0.0297549,0.00991831,0.0297549,0.00991831,0.0297549,0.00991831,0.0297549,0.00991831
4,187.027,2.02002,2.41424,1.74791,0.47476,0.24124,0.17841,0.06996,1.97447,2.25479,1.77835,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,228.937,1.98318,2.2331,1.7028,0.53813,0.31456,0.25366,0.10351,2.0633,2.34147,1.85035,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,270.731,1.92507,2.1617,1.6954,0.55045,0.28591,0.25398,0.10943,1.78436,1.99349,1.67578,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,312.8,1.87816,2.05412,1.65794,0.5619,0.32306,0.24853,0.11075,1.94645,2.26695,1.81935,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,354.544,1.85295,2.0159,1.64444,0.54231,0.31867,0.25942,0.11147,1.78969,1.93627,1.70348,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,396.605,1.84463,1.99233,1.63837,0.55205,0.32263,0.2551,0.11526,1.91595,2.19663,1.80187,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,438.899,1.82457,1.96527,1.62778,0.59241,0.33538,0.30895,0.14287,1.70431,1.82379,1.62903,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
