alpha,stride,noise_idle,noise_stress,noise_combined,lag_heating_sec
0.1,3,0.1416984087621438,0.17904168423789257,0.16037004650001818,9.0
0.1,5,0.10504122973789742,0.13354239915797997,0.1192918144479387,9.200000000000001
0.1,7,0.08573727892379512,0.10808476653251417,0.09691102272815465,9.5
0.1,10,0.06774221535705924,0.08407606605804777,0.0759091407075535,10.0
0.15,3,0.2095608814211529,0.2648912529036561,0.23722606716240452,8.8
0.15,5,0.1516113093956708,0.19312197648922214,0.17236664294244647,9.100000000000001
0.15,7,0.12124743826353297,0.1531535315995302,0.13720048493153159,9.4
0.15,10,0.0933538849323684,0.11585387132679836,0.10460387812958338,9.900000000000002
0.2,3,0.27545544877705563,0.34828686857480146,0.3118711586759285,8.8
0.2,5,0.19459548059061066,0.24837141914717525,0.22148344986889296,9.100000000000001
0.2,7,0.15270406944546855,0.19336046829041026,0.1730322688679394,9.4
0.2,10,0.11501402987453949,0.1428842727123823,0.1289491512934609,9.900000000000002
0.25,3,0.3394846132929375,0.42926936467192717,0.38437698898243233,8.7
0.25,5,0.23439103773241782,0.2996848311605164,0.2670379344464671,9.100000000000001
0.25,7,0.18080209067090608,0.2295055779701774,0.20515383432054174,9.4
0.25,10,0.13370841850693882,0.16642832441955596,0.1500683714632474,9.900000000000002
0.3,3,0.40178275851408607,0.5079122215804067,0.4548474900472464,8.7
0.3,5,0.2714436486188633,0.347483248599296,0.30946344860907965,9.0
0.3,7,0.2062481780818195,0.2623329754548303,0.2342905767683249,9.3
0.3,10,0.1503125958644378,0.18749316036982938,0.1689028781171336,9.8
