condition,rep,label,mean_power_w,std_power_w,fps_mean,j_per_frame,n_rows,offset_s
Static-S0,1,Static-S0 rep1,8.253159987337254,0.9726382668809154,12.963940298733428,0.636624343922934,300000,3769.098930835724
Static-S0,2,Static-S0 rep2,8.262178933682522,0.9435060335578999,13.005539860106614,0.6352815048474882,300000,4058.854714870453
Static-S0,3,Static-S0 rep3,8.207129962241895,0.9404346248499379,13.102361335042833,0.626385561531689,300000,4091.517993927002
Static-S1,1,Static-S1 rep1,6.101013577305822,0.4817446185482122,12.76438914784925,0.4779714490555013,300000,3790.084359884262
Static-S1,2,Static-S1 rep2,5.980830015810206,0.4921582283623784,12.860115943619498,0.46506812551542925,300000,4093.5625610351562
Static-S1,3,Static-S1 rep3,6.021682337101753,0.49263741108406295,12.787108003436696,0.47091823541987365,300000,3608.7646119594574
Static-S2,1,Static-S2 rep1,5.343848771213306,0.3957944656503012,11.34686902357179,0.4709535961076211,300000,3762.4950959682465
Static-S2,2,Static-S2 rep2,5.411976980237641,0.3999521753598364,11.3316125909384,0.47759989470214154,300000,3644.918217897415
Static-S2,3,Static-S2 rep3,5.375465323211124,0.41969832050613715,11.30009594775737,0.4757008567062605,300000,3609.6946601867676
Reactive-Threshold,1,Reactive-Threshold rep1,7.058831662008118,1.4307061525057396,11.676451930076157,0.6045356675366435,300000,3703.135197162628
Reactive-Threshold,2,Reactive-Threshold rep2,6.873148054347907,1.4320363244947956,11.67087978499119,0.5889143047456294,300000,3719.9349439144135
Reactive-Threshold,3,Reactive-Threshold rep3,6.939547649997556,1.4292349352737297,11.673291433691785,0.5944808017016038,300000,3716.65824508667
Proactive (Ours),1,Proactive (Ours) rep1,7.0380240904931135,1.1339646544966053,12.389619975681283,0.568058108667381,300000,3635.2531158924103
Proactive (Ours),2,Proactive (Ours) rep2,7.101078612252974,1.1455958646958073,12.439753799213474,0.5708375524845156,300000,3907.528907060623
Proactive (Ours),3,Proactive (Ours) rep3,7.017776146017355,1.1398995204872644,12.562911510776313,0.5586106484947849,300000,3940.3357808589935
