condition,rep,label,mean_power_w,std_power_w,fps_mean,frame_count,window_s,j_per_frame,pz_inference_samples,pz_coverage_pct
Static-S0,1,Static-S0 rep1,7.1967,1.3169,12.2551,21937,1790.0,0.5872,1801259,100.0
Static-S0,2,Static-S0 rep2,7.2365,1.3201,12.286,21993,1790.1,0.589,1800905,100.0
Static-S0,3,Static-S0 rep3,7.2108,1.3214,12.3805,22161,1790.0,0.5824,1799387,100.0
Static-S1,1,Static-S1 rep1,6.3955,0.5113,12.0963,21652,1790.0,0.5287,1799663,100.0
Static-S1,2,Static-S1 rep2,6.2979,0.5162,12.1875,21815,1790.0,0.5168,1797797,100.0
Static-S1,3,Static-S1 rep3,6.3959,0.5275,12.1155,21687,1790.0,0.5279,1797808,100.0
Static-S2,1,Static-S2 rep1,5.6254,0.395,10.7801,19296,1790.0,0.5218,1791469,100.0
Static-S2,2,Static-S2 rep2,5.6448,0.3938,10.764,19267,1789.9,0.5244,1791493,100.0
Static-S2,3,Static-S2 rep3,5.642,0.3941,10.7271,19202,1790.0,0.526,1786558,99.8
Reactive-Threshold,1,Reactive-Threshold rep1,5.9976,0.8691,11.0699,19815,1790.0,0.5418,1793569,100.0
Reactive-Threshold,2,Reactive-Threshold rep2,5.979,0.8582,11.0621,19801,1790.0,0.5405,1790062,100.0
Reactive-Threshold,3,Reactive-Threshold rep3,5.9799,0.8547,11.0664,19809,1790.0,0.5404,1782288,99.6
Proactive (Ours),1,Proactive (Ours) rep1,6.2069,0.8247,11.7462,21026,1790.0,0.5284,1791447,100.0
Proactive (Ours),2,Proactive (Ours) rep2,6.3261,0.7936,11.8004,21123,1790.0,0.5361,1797573,100.0
Proactive (Ours),3,Proactive (Ours) rep3,6.2906,0.7827,11.9133,21325,1790.0,0.528,1796337,100.0
Active-Oracle,1,Active-Oracle rep1,8.1944,0.9039,14.5313,26011,1790.0,0.5639,1801051,100.0
Active-Oracle,2,Active-Oracle rep2,8.2087,0.9129,14.5235,25997,1790.0,0.5652,1801202,100.0
Active-Oracle,3,Active-Oracle rep3,8.1446,0.8995,14.5338,26015,1790.0,0.5604,1801118,100.0
