condition,rep,run_dir,fps_mean,fps_std,fps_cv_pct,frame_count,T_plateau_c,T_plateau_std_c,throttle_count,throttle_fraction,total_thermal_samples,mean_power_w,j_per_frame,time_at_S0_s,time_at_S0_pct,time_at_S1_s,time_at_S1_pct,time_at_S2_s,time_at_S2_pct,scheduler_mode
Static-S0,?,2026-05-03_012911_thermalval_S0,13.1416,1.5709,11.9533,21937,84.7931,0.6179,1910,0.5337,3579,,,,,,,,,static
Static-S0,?,2026-05-04_203732_thermalval_S0,13.1840,1.5706,11.9129,21993,84.7441,0.6475,1845,0.5155,3579,,,,,,,,,static
Static-S0,?,2026-05-05_011931_thermalval_S0,13.2755,1.5432,11.6242,22161,84.7175,0.6155,1715,0.4792,3579,,,,,,,,,static
Static-S1,?,2026-05-03_021631_thermalval_S1,12.7809,0.4221,3.3022,21652,79.4982,1.6098,0,0.0000,3580,,,,,,,,,static
Static-S1,?,2026-05-05_015938_thermalval_S1,12.8761,0.4171,3.2393,21815,77.5496,1.8443,0,0.0000,3579,,,,,,,,,static
Static-S1,?,2026-05-05_171318_thermalval_S1,12.8039,0.4364,3.4087,21687,78.0630,1.9184,0,0.0000,3579,,,,,,,,,static
Static-S2,?,2026-05-03_053226_thermalval_S2,11.3582,0.3341,2.9412,19296,72.0586,1.3198,0,0.0000,3579,,,,,,,,,static
Static-S2,?,2026-05-05_180734_thermalval_S2,11.3438,0.3383,2.9827,19267,72.5836,1.3620,0,0.0000,3580,,,,,,,,,static
Static-S2,?,2026-05-05_200514_thermalval_S2,11.3147,0.3696,3.2662,19202,72.3466,1.1866,0,0.0000,3579,,,,,,,,,static
Reactive-Threshold,1,2026-05-05_213247_scheduled_high_S0_rep1,11.8007,1.4210,12.0420,19815,73.9444,0.8973,0,0.0000,3579,,,187.0000,10.4469,0.0000,0.0000,1603.0000,89.5531,reactive_threshold
Reactive-Threshold,2,2026-05-05_220944_scheduled_high_S0_rep2,11.7918,1.4111,11.9670,19801,73.2413,0.5685,0,0.0000,3579,,,178.5000,9.9721,0.0000,0.0000,1611.5000,90.0279,reactive_threshold
Reactive-Threshold,3,2026-05-05_224659_scheduled_high_S0_rep3,11.7965,1.4225,12.0588,19809,73.3426,0.5427,0,0.0000,3579,,,184.0000,10.2793,0.0000,0.0000,1606.0000,89.7207,reactive_threshold
Proactive,1,2026-05-06_011427_scheduled_high_S0_rep1,12.5128,1.3465,10.7606,21026,74.8672,2.3464,0,0.0000,3580,,,173.0000,9.6648,845.0000,47.2067,772.0000,43.1285,proactive
Proactive,2,2026-05-06_031811_scheduled_high_S0_rep2,12.5477,1.2625,10.0616,21123,76.4013,1.6058,0,0.0000,3579,,,155.0000,8.6592,945.0000,52.7933,690.0000,38.5475,proactive
Proactive,3,2026-05-06_035911_scheduled_high_S0_rep3,12.6617,1.2057,9.5226,21325,76.6059,1.7387,0,0.0000,3579,,,164.5000,9.1899,1119.0000,62.5140,506.5000,28.2961,proactive
