monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.00029,2026-05-03T19:58:26.818479+00:00,46.85,,0.0,,0.8473,,2400.0,,4.6
0.500277,2026-05-03T19:58:27.370926+00:00,47.1045,,17.1236,,0.8473,,2400.0,,5.2144
1.0,2026-05-03T19:58:27.812925+00:00,48.0638,,34.0103,,0.8473,0.0,2400.0,0.0,6.1798
1.5,2026-05-03T19:58:28.313907+00:00,48.9284,,48.239,,0.8473,0.0,2400.0,0.0,6.651
2.0,2026-05-03T19:58:28.813088+00:00,49.8474,1.4987,59.2909,,0.8473,0.0,2400.0,0.0,6.8809
2.500001,2026-05-03T19:58:29.320614+00:00,50.2992,1.5973,67.5309,,0.8473,0.0,2400.0,0.0,6.9931
3.001787,2026-05-03T19:58:29.843560+00:00,51.0283,1.4823,74.2343,24.7448,0.8473,0.0,2400.0,0.0,7.0478
3.5,2026-05-03T19:58:30.312943+00:00,51.716,1.3938,79.2709,20.7158,0.8473,0.0,2400.0,0.0,7.0745
4.0,2026-05-03T19:58:30.813112+00:00,52.2445,1.1985,83.1652,16.3849,0.8473,0.0,2400.0,0.0,7.0876
4.5,2026-05-03T19:58:31.313056+00:00,52.6507,1.1757,86.2508,12.6706,0.8473,0.0,2400.0,0.0,7.0939
5.0,2026-05-03T19:58:31.821078+00:00,53.0902,1.0309,88.5068,9.7386,0.8473,0.0,2400.0,0.0,7.097
5.5,2026-05-03T19:58:32.321955+00:00,53.428,0.856,90.2407,7.57,0.8473,0.0,2400.0,0.0,7.0986
6.0,2026-05-03T19:58:32.812725+00:00,53.8149,0.7852,91.7817,5.8491,0.8473,0.0,2400.0,0.0,7.0993
6.5,2026-05-03T19:58:33.313341+00:00,54.1123,0.7308,92.6421,4.4571,0.8473,0.0,2400.0,0.0,7.0997
7.000001,2026-05-03T19:58:33.813392+00:00,54.2136,0.5617,93.4191,3.418,0.8473,0.0,2400.0,0.0,7.0486
7.5,2026-05-03T19:58:34.320589+00:00,54.4187,0.4953,93.9701,2.5731,0.8473,0.0,2400.0,0.0,7.0237
8.0,2026-05-03T19:58:34.813910+00:00,54.5763,0.3807,94.4398,1.9777,0.8473,0.0,2400.0,0.0,7.0116
8.5,2026-05-03T19:58:35.312927+00:00,54.8248,0.3563,94.6851,1.4815,0.8473,0.0,2400.0,0.0,7.0057
9.0,2026-05-03T19:58:35.812939+00:00,55.0157,0.4011,94.9894,1.0692,0.8473,0.0,2400.0,0.0,6.9516
9.5,2026-05-03T19:58:36.313387+00:00,55.2898,0.4355,95.3389,0.8989,0.8473,0.0,2400.0,0.0,6.9252
10.000001,2026-05-03T19:58:36.820420+00:00,55.2459,0.3348,95.3762,0.6524,0.8473,0.0,2400.0,0.0,6.9123
10.5,2026-05-03T19:58:37.312694+00:00,55.5939,0.3846,95.4049,0.4783,0.8473,0.0,2400.0,0.0,6.906
11.0,2026-05-03T19:58:37.813763+00:00,55.7342,0.3592,95.5426,0.3676,0.8473,0.0,2400.0,0.0,6.8517
11.5,2026-05-03T19:58:38.312692+00:00,55.842,0.2761,95.6484,0.3211,0.8473,0.0,2400.0,0.0,6.8252
12.000001,2026-05-03T19:58:38.812857+00:00,55.9248,0.3395,95.9612,0.3239,0.8473,0.0,2400.0,0.0,6.8123
12.5,2026-05-03T19:58:39.322314+00:00,55.9885,0.1973,96.0859,0.249,0.8473,0.0,2400.0,0.0,6.806
13.0,2026-05-03T19:58:39.814076+00:00,56.1647,0.2153,96.066,0.2299,0.8473,0.0,2400.0,0.0,6.8029
13.5,2026-05-03T19:58:40.312923+00:00,56.3001,0.2291,96.1664,0.2539,0.8473,0.0,2400.0,0.0,6.8014
14.0,2026-05-03T19:58:40.812629+00:00,56.277,0.1761,96.1279,0.1951,0.8473,0.0,2400.0,0.0,6.7495
14.500001,2026-05-03T19:58:41.313243+00:00,56.2592,0.1353,96.1215,0.1577,0.8473,0.0,2400.0,0.0,6.7242
15.0,2026-05-03T19:58:41.819364+00:00,56.3727,0.104,96.0702,0.0363,0.8473,0.0,2400.0,0.0,6.7118
15.5,2026-05-03T19:58:42.313682+00:00,56.46,0.0799,95.9383,-0.0492,0.8473,0.0,2400.0,0.0,6.7058
16.0,2026-05-03T19:58:42.812616+00:00,56.5271,0.1251,96.0682,0.0008,0.8473,0.0,2400.0,0.0,6.7028
16.5,2026-05-03T19:58:43.313288+00:00,56.3242,0.0325,96.0293,-0.0457,0.8473,0.0,2400.0,0.0,6.7014
17.0,2026-05-03T19:58:43.812834+00:00,56.9318,0.2795,96.1151,-0.0043,0.8473,0.0,2400.0,0.0,6.6495
17.5,2026-05-03T19:58:44.316850+00:00,57.1443,0.3421,95.9496,-0.0573,0.8473,0.0,2400.0,0.0,6.6241
18.0,2026-05-03T19:58:44.813346+00:00,57.1803,0.3266,96.077,0.0023,0.8473,0.0,2400.0,0.0,6.6118
