monotonic_offset_s,utc_timestamp,T,T_dot,U,U_dot,V,V_dot,f,f_dot,mem
0.000392,2026-05-06T20:01:26.462736+00:00,52.9,,0.0,,0.8483,,2400.0,,5.2
0.500002,2026-05-06T20:01:26.957944+00:00,53.6636,,14.5319,,0.8483,,2400.0,,5.8144
1.000136,2026-05-06T20:01:27.457829+00:00,54.6323,,33.3605,,0.8483,0.0,2400.0,0.0,6.1142
1.5,2026-05-06T20:01:27.957655+00:00,55.6315,,47.7627,,0.8483,0.0,2400.0,0.0,6.3117
2.0,2026-05-06T20:01:28.458263+00:00,56.3994,1.7497,59.0405,,0.8483,0.0,2400.0,0.0,6.4081
2.5,2026-05-06T20:01:28.963701+00:00,57.1169,1.7266,67.7086,,0.8483,0.0,2400.0,0.0,6.404
3.0,2026-05-06T20:01:29.457683+00:00,57.9229,1.6453,74.2321,24.744,0.8483,0.0,2400.0,0.0,6.4019
3.5,2026-05-06T20:01:29.957673+00:00,58.5423,1.4554,79.3618,21.61,0.8483,0.0,2400.0,0.0,6.4009
4.0,2026-05-06T20:01:30.457676+00:00,59.1458,1.3732,83.2119,16.6171,0.8483,0.0,2400.0,0.0,6.4005
4.5,2026-05-06T20:01:30.958253+00:00,59.4823,1.1827,86.2867,12.8413,0.8483,0.0,2400.0,0.0,6.4002
5.0,2026-05-06T20:01:31.463283+00:00,59.6136,0.8454,88.5344,9.8313,0.8483,0.0,2400.0,0.0,6.4001
5.5,2026-05-06T20:01:31.957797+00:00,59.9692,0.7134,90.3776,7.5563,0.8483,0.0,2400.0,0.0,6.4001
6.0,2026-05-06T20:01:32.457664+00:00,60.2424,0.5483,91.7943,5.8541,0.8483,0.0,2400.0,0.0,6.4
6.5,2026-05-06T20:01:32.958070+00:00,60.5797,0.5487,92.9989,4.5457,0.8483,0.0,2400.0,0.0,6.3488
7.0,2026-05-06T20:01:33.457634+00:00,60.9662,0.6763,93.6934,3.4938,0.8483,0.0,2400.0,0.0,6.3238
7.5,2026-05-06T20:01:33.962941+00:00,61.136,0.5834,94.2271,2.6468,0.8483,0.0,2400.0,0.0,6.2604
8.0,2026-05-06T20:01:34.457910+00:00,61.2665,0.5121,94.8688,2.1115,0.8483,0.0,2400.0,0.0,6.2295
8.5,2026-05-06T20:01:34.958221+00:00,61.7486,0.5845,95.1305,1.5843,0.8483,0.0,2400.0,0.0,6.1632
9.0,2026-05-06T20:01:35.457641+00:00,61.8646,0.4492,95.4474,1.2177,0.8483,0.0,2400.0,0.0,6.1308
9.5,2026-05-06T20:01:35.957654+00:00,61.9538,0.4089,95.6679,0.8896,0.8483,0.0,2400.0,0.0,6.0638
10.0,2026-05-06T20:01:36.463447+00:00,62.2769,0.5052,95.9761,0.7609,0.8483,0.0,2400.0,0.0,6.0312
10.500471,2026-05-06T20:01:36.958149+00:00,62.5252,0.3883,95.8891,0.554,0.8483,0.0,2400.0,0.0,6.0152
11.0,2026-05-06T20:01:37.457862+00:00,62.8433,0.4893,96.0304,0.3872,0.8483,0.0,2400.0,0.0,6.0074
11.5,2026-05-06T20:01:37.957690+00:00,62.8333,0.4397,96.1622,0.3439,0.8483,0.0,2400.0,0.0,5.9524
12.0,2026-05-06T20:01:38.457758+00:00,62.9529,0.338,96.1247,0.2258,0.8483,0.0,2400.0,0.0,5.9256
12.5,2026-05-06T20:01:38.962267+00:00,62.9175,0.1961,95.9801,0.1041,0.8483,0.0,2400.0,0.0,5.8613
13.0,2026-05-06T20:01:39.457668+00:00,63.0176,0.0871,95.8922,-0.028,0.8483,0.0,2400.0,0.0,5.8299
13.5,2026-05-06T20:01:39.957764+00:00,63.2218,0.1942,95.894,0.0016,0.8483,0.0,2400.0,0.0,5.8146
14.0,2026-05-06T20:01:40.457704+00:00,63.2514,0.1493,96.0342,0.0013,0.8483,0.0,2400.0,0.0,5.8071
14.5,2026-05-06T20:01:40.957644+00:00,63.5288,0.3056,96.0494,-0.0376,0.8483,0.0,2400.0,0.0,5.8035
15.0,2026-05-06T20:01:41.464751+00:00,63.742,0.3622,96.1537,0.0097,0.8483,0.0,2400.0,0.0,5.7505
15.5,2026-05-06T20:01:41.957888+00:00,63.9058,0.342,95.8636,-0.0388,0.8483,0.0,2400.0,0.0,5.7246
